what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1549888238009
ws,sysinfo,,,"win32",1549888238009
locale,sysinfo,,,"en_US",1549888238009
processors,sysinfo,,,"4",1549888238009
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1549888238009
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1549888238009
java.specification.name,sysinfo,,,"Java Platform API Specification",1549888238009
java.specification.vendor,sysinfo,,,"Oracle Corporation",1549888238009
java.specification.version,sysinfo,,,"1.8",1549888238009
java.vendor,sysinfo,,,"Oracle Corporation",1549888238009
java.version,sysinfo,,,"1.8.0_191",1549888238009
java.vm.info,sysinfo,,,"mixed mode",1549888238009
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1549888238009
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1549888238009
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1549888238009
java.vm.specification.version,sysinfo,,,"1.8",1549888238009
java.vm.vendor,sysinfo,,,"Oracle Corporation",1549888238009
java.vm.version,sysinfo,,,"25.191-b12",1549888238009
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1549888239040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888240540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888249643
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1549888257525
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1549888261619
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1549888261619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888261697
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888263197
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1549888263197
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1549888263197
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1549888268760
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1549888268807
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1549888268901
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1549888269432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888271886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888272839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888273151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888282572
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1549888283931
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1549888296636
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1549888296933
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1549888296979
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1549888297590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888307732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888320821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888330803
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888747718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549888751156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889531527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1549889531537
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889532922
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889671455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889672968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889964386
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889973957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889980613
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.export",1549889980613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889987474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889989144
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549889993735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890000503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1549890000503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890012113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890022941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890043269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890047206
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1549890047222
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890054457
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1549890081346
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1549890090034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890090050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890091191
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890136444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890137112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890138228
started,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1549890142159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890142862
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1549890146549
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1549890146565
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1549890146596
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1549890146612
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1549890146612
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1549890155018
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1549890167549
error,log,,,"Unexpected exception: Cannot complete request to http://marketplace.eclipse.org/install/error/report: Read timed out",1549890243533
error,log,,,"Unexpected exception: Cannot complete request to http://marketplace.eclipse.org/install/error/report: Read timed out",1549890271738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1549890283756
